City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
658,Ternate,ID,83.35,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
660,Redlands,US,72.27,haze,34.0556,-117.1825,Dynasty Suites Redlands
666,Alamos,MX,90.1,clear sky,27.0167,-108.9333,Luz del Sol
669,Nizwa,OM,80.96,clear sky,22.9333,57.5333,Orient Apartments
670,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
671,Minab,IR,82.72,clear sky,27.1467,57.0801,Bam campground
674,Panama City,PA,87.75,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
675,Saint-Joseph,RE,71.98,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
679,Ibra,OM,77.79,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
684,Mayumba,GA,76.42,scattered clouds,-3.432,10.6554,LIKWALE LODGE
687,Kaura Namoda,NG,93.99,broken clouds,12.5898,6.5779,Moonlight Hotel
